config	function	candidate_size	stock_size	size_delta	raw_match	normalized_match	candidate_sha256	normalized_sha256
O2_noinline	WsfTimerUpdate	64	52	12	no	no	ac8a91f7f1ed0e54e862f10116ba0e1fd89013b08890f7e26cd19472d82a4ec3	b932da2a9a7a81fe6d2f175399b19d33a725776eea762295ad2d3416f78657bc
O2_noinline	WsfTimerNextExpiration	48	40	8	no	no	72216045799c0e7db95f6f3a1d4ef4a24df9da1374c0be03f9f41c84180cdbb3	4be1b82de1c8ec43a54f514d3d23da1f00e0852ff17113d88ef48caa004c1940
O2_noinline	WsfTimerServiceExpired	48	50	-2	no	no	4aa186a9516a5828b5242fb0e364e98b5f6057f25af14e0e1cbff1dd99571355	e38b294b88b6dc028b36c5413c70a2efae4c8af677e954cdab4dc3f9eb5738c3
O2_noinline	WsfTimerUpdateTicks	120	160	-40	no	no	55190c26b6320622869af6ff46cf6d13012f6922f7b07d76a85c95e579b0cbf5	a32d4df21e74273a2b4b3158c187a6c7770cab9a24eed9cf5ca9ed8743afa364
O3	wsfTimerRemove	52	40	12	no	no	e30201b72da8676ecb9ccd44dad263c36144afedcf01b687954de8fac224bf94	ca331e271fb0edcfce33b310663743318ef548b3af5f393e6d67c7cdfb1d99ab
O3	wsfTimerInsert	124	68	56	no	no	a5f31d6797d69dedfff7a3f9a2b9b3c7f4034278da4d0ec7e0c18c0cc4df4e54	cd45e940b3aa2b5a786e531064ac86da214c6db79f00dec1c0c8d6588eb86f7b
O3	WsfTimer_handler	8	12	-4	no	no	83db05db1abf34eed4f84b1f4afddccb1af5242ca20efd37c6d4bb705258a7ba	1ba9e3669037a0d539873ff4ee5d4aaf32a7ce9848de1d245ae93bacb88f63e9
O3	WsfTimerInit	84	68	16	no	no	977ef1187bfa7abf1bc8c1ace669122fccf7fe885502ee7c5465a5142fd8c71b	c8b4948735b98b80a2adb03ce5cebc9cc95fc10358e6aec7cd38207d3c04e790
O3	WsfTimerStartSec	128	12	116	no	no	d356a29ab5b2492ee8b7318b7e5ed46ed63871d09778a3b39ff024c3c5b5b34a	9c764a8cefd095987e5ef557a744ebe24f6b88a75591476374558981f199f247
O3	WsfTimerStartMs	132	14	118	no	no	138ed9bd401f8393c0c7981c237b839086fdd471e6d7aa4df22fe5d6f84fc41e	2d78a99b7595c7d7d9da3b04b6306608b2d6cd61ea3e4e862ac11d457ad39ae5
O3	WsfTimerStop	68	20	48	no	no	389ba0d9fbd15b6ac9dff86225cda606e6c81b654b6ce06f0747247ab70022bb	eb898fd12cabd3235ed319bcfd4472072bddfdbe7758b08a54dc877b3230ba0d
O3	WsfTimerUpdate	72	52	20	no	no	39a43aa29ec35cbdfb338a01b1570cf90aefc1b20e31be42ef34998165dbb055	adce79048a8e95ca519f1410527508519b2df700a7a9353bc0b4883634f492ec
