lane	variant	config	symbol	size
stock_warn_seam__Os_nosibling	stock_warn_seam	Os_nosibling	WsfBufInit	164
stock_warn_seam__Oz	stock_warn_seam	Oz	WsfBufDiagRegister	2
stock_warn_seam__Oz	stock_warn_seam	Oz	WsfBufGetAllocStats	4
stock_warn_seam__Oz	stock_warn_seam	Oz	WsfBufGetNumPool	12
stock_warn_seam__Oz	stock_warn_seam	Oz	WsfBufFree	68
stock_warn_seam__Oz	stock_warn_seam	Oz	WsfBufGetPoolStats	72
stock_warn_seam__Oz	stock_warn_seam	Oz	WsfBufAlloc	112
stock_warn_seam__Oz	stock_warn_seam	Oz	WsfBufInit	164
stock_warn_seam__Oz_nosibling	stock_warn_seam	Oz_nosibling	WsfBufDiagRegister	2
stock_warn_seam__Oz_nosibling	stock_warn_seam	Oz_nosibling	WsfBufGetAllocStats	4
stock_warn_seam__Oz_nosibling	stock_warn_seam	Oz_nosibling	WsfBufGetNumPool	12
stock_warn_seam__Oz_nosibling	stock_warn_seam	Oz_nosibling	WsfBufFree	64
stock_warn_seam__Oz_nosibling	stock_warn_seam	Oz_nosibling	WsfBufGetPoolStats	68
stock_warn_seam__Oz_nosibling	stock_warn_seam	Oz_nosibling	WsfBufAlloc	112
stock_warn_seam__Oz_nosibling	stock_warn_seam	Oz_nosibling	WsfBufInit	164
