entry,name,body_min,body_max,body_bytes,body_sha256,body_ranges,thunk,external,calling_functions,called_functions
0x000fad98,"iter_from_extension",0x000fad98,0x000fadc5,46,e240ed1adbdaeeaab9eb976ddfc11ac4b602e9bafe355392673e0ce5bd9fb032,"000fad98-000fadc5",false,false,"pb_decode_noinit@000fc990;pb_field_set_to_default@000fcd36","pb_field_iter_begin@000fcc68"
0x000fadc8,"main",0x000fadc8,0x000fadf7,48,8e8945bfff5170a33188cd5632d4d5d1f1f37ff9fdfb6d5552e9101ed85cced4,"000fadc8-000fadf7",false,false,"armcc_runtime_entry_veneer@000f8208","nrf_bootloader_acl_add@000fb004;nrf_bootloader_init@000fb0b8;nrf_bootloader_mbr_addrs_populate@000fb168;app_error_fault_handler@000fc654"
0x000fadf8,"nrf_atfifo_clear",0x000fadf8,0x000fae07,16,b66636949aaae719705addb30220da7dda0fcb43fa798a1312ea28f1b30b5a60,"000fadf8-000fae07",false,false,"nrf_fstorage_sd_uninit@000fd6f4","nrf_atfifo_space_clear@000f82ae"
0x000fae08,"nrf_atfifo_init",0x000fae08,0x000fae2d,38,7b4ee3e6b3ffc3ed4b0022ff09ddd78fea0a23c1934416eb1f9ba72eb43a4d7c,"000fae08-000fae2d",false,false,"nrf_fstorage_sd_init@000face0",""
0x000fae2e,"nrf_atfifo_item_alloc",0x000fae2e,0x000fae43,22,43f199308aa476cd9dd46f9279f875b2a9666a21f4b00a615339f72592e42490,"000fae2e-000fae43",false,false,"nrf_fstorage_sd_erase@000fa9e4;nrf_fstorage_sd_write@000fd818","nrf_atfifo_wspace_req@000f8218"
0x000fae44,"nrf_atfifo_item_free",0x000fae44,0x000fae59,22,5097d7cfe1d97ea54f15eabeb7507fe85ace93ca9749b8eedd17bf313168eea0,"000fae44-000fae59",false,false,"queue_free@000fd0f0","nrf_atfifo_rspace_close@000f829c"
0x000fae5a,"nrf_atfifo_item_get",0x000fae5a,0x000fae6f,22,86f478e790881f4e2134a95e311db068227d8e78ef90b0cf89479bdcd2589f8d,"000fae5a-000fae6f",false,false,"queue_process@000fd104","nrf_atfifo_rspace_req@000f8262"
0x000fae70,"nrf_atfifo_item_put",0x000fae70,0x000fae85,22,090ebbc9ec27c43d1fa6271f253b6d0e218bb0382f2729ba38c758671dbf4f38,"000fae70-000fae85",false,false,"nrf_fstorage_sd_erase@000fa9e4;nrf_fstorage_sd_write@000fd818","nrf_atfifo_wspace_close@000f8250"
0x000fae86,"nrf_atomic_flag_clear",0x000fae86,0x000fae9d,18,cf30d3e76f2b5d2e04c65b9b7777fbe834f94da5eb8eb9b4d33a0f2a370b2569,"000fae86-000fae8b;000fae92-000fae9d",false,false,"nrf_fstorage_nvmc_erase@000fa99c;nrf_fstorage_nvmc_uninit@000fd6e4;nrf_fstorage_nvmc_write@000fd7d4","nrf_atomic_internal_and@000f8312"
0x000fae8c,"nrf_atomic_u32_fetch_or",0x000fae8c,0x000faea7,16,96d2766b6865d63a8374d1eac17c94f929b68faef34859b72ffec4f4cfdabe74,"000fae8c-000fae91;000fae9e-000faea7",false,false,"nrf_fstorage_nvmc_erase@000fa99c;nrf_fstorage_sd_init@000face0;queue_start@000fd1a0;nrf_fstorage_nvmc_write@000fd7d4","nrf_atomic_internal_orr@000f82f8"
0x000faea8,"nrf_atomic_u32_fetch_store",0x000faea8,0x000faeb1,10,ffbb49d572d43af5e5fc51e4636b48bb1e157aaeed4683aeb89db486ec14cf03,"000faea8-000faeb1",false,false,"cc310_backend_mutex_trylock@000fa4e4;nrf_crypto_backend_secp256r1_verify@000fb228","nrf_atomic_internal_mov@000f82e0"
0x000faeb2,"nrf_balloc_alloc",0x000faeb2,0x000faef5,68,b3590e9fe1add06b6b0a32c3b13b5f39197174f8650b1038096fc1670258de0d,"000faeb2-000faef5",false,false,"ble_evt_handler@000fa210","app_util_critical_region_enter@000f9ed4;app_util_critical_region_exit@000f9f1c"
