caller_entry,caller_name,callsite,callee_entry,callee_name,reference_type
0x000fa5a4,"cc310_bl_backend_hash_sha256_update",0x000fa5b6,0x000fa534,"cc310_bl_backend_enable","UNCONDITIONAL_CALL"
0x000fa5a4,"cc310_bl_backend_hash_sha256_update",0x000fa5cc,0x000f841a,"memmove","UNCONDITIONAL_CALL"
0x000fa5a4,"cc310_bl_backend_hash_sha256_update",0x000fa5d6,0x000f9704,"nrf_cc310_bl_hash_sha256_update","UNCONDITIONAL_CALL"
0x000fa5a4,"cc310_bl_backend_hash_sha256_update",0x000fa5f2,0x000fa510,"cc310_bl_backend_disable","UNCONDITIONAL_CALL"
0x000fa5a4,"cc310_bl_backend_hash_sha256_update",0x000fa5f6,0x000fa500,"cc310_backend_mutex_unlock","UNCONDITIONAL_CALL"
0x000fa5a4,"cc310_bl_backend_hash_sha256_update",0x000fa600,0x000fabf4,"hash_result_get","UNCONDITIONAL_CALL"
0x000fa608,"cc310_bl_backend_init",0x000fa61a,0x000f9898,"nrf_cc310_bl_init","UNCONDITIONAL_CALL"
0x000fa698,"crc_ok",0x000fa6a4,0x000fd410,"settings_crc_get","UNCONDITIONAL_CALL"
0x000fa6b8,"crypto_init",0x000fa6c4,0x000fb3e8,"nrf_crypto_init","UNCONDITIONAL_CALL"
0x000fa6b8,"crypto_init",0x000fa6ce,0x000fb428,"nrf_crypto_internal_double_swap_endian","UNCONDITIONAL_CALL"
0x000fa6b8,"crypto_init",0x000fa6da,0x000fb298,"nrf_crypto_ecc_public_key_from_raw","UNCONDITIONAL_CALL"
0x000fa776,"nanopb_decode_field",0x000fa716,0x000fd1e0,"read_raw_value","UNCONDITIONAL_CALL"
0x000fa776,"nanopb_decode_field",0x000fa724,0x000fcddc,"pb_istream_from_buffer","UNCONDITIONAL_CALL"
0x000fa776,"nanopb_decode_field",0x000fa74a,0x000fcec4,"pb_skip_field","UNCONDITIONAL_CALL"
0x000fa776,"nanopb_decode_field",0x000fa752,0x000fcdf0,"pb_make_string_substream","UNCONDITIONAL_CALL"
0x000fa776,"nanopb_decode_field",0x000fa7da,0x000fcdf0,"pb_make_string_substream","UNCONDITIONAL_CALL"
0x000fa776,"nanopb_decode_field",0x000fa84a,0x000f846a,"armcc_memclr","UNCONDITIONAL_CALL"
0x000fa776,"nanopb_decode_field",0x000fa854,0x000fce26,"pb_message_set_to_defaults","UNCONDITIONAL_CALL"
0x000fa870,"nrf_bootloader_app_is_valid",0x000fa8b6,0x000fa3f0,"boot_validate","UNCONDITIONAL_CALL"
0x000fa870,"nrf_bootloader_app_is_valid",0x000fa8bc,0x000fb4d0,"nrf_dfu_bank0_start_addr","UNCONDITIONAL_CALL"
0x000fa870,"nrf_bootloader_app_is_valid",0x000fa8c8,0x000fa3f0,"boot_validate","UNCONDITIONAL_CALL"
0x000fa908,"nrf_bootloader_dfu_observer",0x000fa922,0x000fafdc,"nrf_bootloader_dfu_inactivity_timer_restart","UNCONDITIONAL_CALL"
0x000fa908,"nrf_bootloader_dfu_observer",0x000fa92a,0x000fa4a4,"bootloader_reset","UNCONDITIONAL_CALL"
0x000fa908,"nrf_bootloader_dfu_observer",0x000fa930,0x000fb9d8,"nrf_dfu_settings_reinit","UNCONDITIONAL_CALL"
0x000fa950,"nrf_dfu_observer",0x000fa95e,0x000fbb08,"nrf_dfu_transports_close","UNCONDITIONAL_CALL"
0x000fa99c,"nrf_fstorage_nvmc_erase",0x000fa9ac,0x000fae8c,"nrf_atomic_u32_fetch_or","UNCONDITIONAL_CALL"
0x000fa99c,"nrf_fstorage_nvmc_erase",0x000fa9bc,0x000fc070,"nrf_nvmc_page_erase","UNCONDITIONAL_CALL"
0x000fa99c,"nrf_fstorage_nvmc_erase",0x000fa9c8,0x000fae86,"nrf_atomic_flag_clear","UNCONDITIONAL_CALL"
0x000fa99c,"nrf_fstorage_nvmc_erase",0x000fa9d8,0x000faa30,"nrf_fstorage_nvmc_event_send","UNCONDITIONAL_CALL"
0x000fa9e4,"nrf_fstorage_sd_erase",0x000fa9f6,0x000fae2e,"nrf_atfifo_item_alloc","UNCONDITIONAL_CALL"
0x000fa9e4,"nrf_fstorage_sd_erase",0x000faa00,0x000f846a,"armcc_memclr","UNCONDITIONAL_CALL"
0x000fa9e4,"nrf_fstorage_sd_erase",0x000faa1a,0x000fae70,"nrf_atfifo_item_put","UNCONDITIONAL_CALL"
0x000fa9e4,"nrf_fstorage_sd_erase",0x000faa1e,0x000fd1a0,"queue_start","UNCONDITIONAL_CALL"
